scenario,trajectory,config,config_label,oil,oil_label,solar_mult,land_screen,jera_capital,solar_basis,kind,rescaled,short_label,description,total_cost_bn,conv_capital_bn,mip_gap_requested,mip_gap_achieved,source_dir
nlv2a_plan_igp_pref_pv17_hybrid_refbrent,Accelerated rooftop,plan_igp_pref,Published plan: IGP land-constrained,refbrent,EIA reference,1.7,Reference,bare-EPC,ATB Moderate,plan,0,Published plan: IGP land-constrained · EIA-ref oil · accel rooftop · solar +104%,"Generation is constrained to the mix published in Hawaiian Electric's integrated grid plan (land-constrained scenario, the plan of record), rescaled to the grid demand this rooftop trajectory leaves to serve. The cost is what running that mix costs in this framework, not a build the model chose. Oil prices follow EIA's reference forecast. Rooftop solar accelerates to about 2,120 MW by 2050 (sellback opened up). Utility-solar capital carries a 104% Hawaiʻi premium (1.7x the study baseline).",29.2237,0.0,0.0025,0.00504696,outputs_nlv2a_plan_igp_pref_pv17_hybrid_refbrent
nlv2b_C1_LSFO250_futbrent,Conservative rooftop (base),C1_LSFO250,"New LSFO plant, 250 MW",futbrent,Brent futures,1.0,Reference,bare-EPC,ATB Moderate,model,0,"New LSFO plant, 250 MW · futures oil · base rooftop","A new 250 MW combined-cycle plant burning low-sulfur fuel oil is built; no LNG imports. Oil prices follow the Brent futures strip (the market's central view). Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case).",25.0051,0.0,0.001,0.000952321,R010_outputs_nlv2b_C1_LSFO250_futbrent
nlv2b_C1_LSFO250_futbrent_adv,Conservative rooftop (base),C1_LSFO250,"New LSFO plant, 250 MW",futbrent,Brent futures,1.0,Reference,bare-EPC,ATB Advanced,model,0,"New LSFO plant, 250 MW · futures oil · base rooftop · ATB-Adv","A new 250 MW combined-cycle plant burning low-sulfur fuel oil is built; no LNG imports. Oil prices follow the Brent futures strip (the market's central view). Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case). Solar and battery costs follow ATB's cheaper Advanced projection.",23.6416,0.0,0.001,0.000987162,R010_outputs_nlv2b_C1_LSFO250_futbrent_adv
nlv2b_C1_LSFO250_highbrent,Conservative rooftop (base),C1_LSFO250,"New LSFO plant, 250 MW",highbrent,Market 90th percentile,1.0,Reference,bare-EPC,ATB Moderate,model,0,"New LSFO plant, 250 MW · high oil · base rooftop","A new 250 MW combined-cycle plant burning low-sulfur fuel oil is built; no LNG imports. Oil prices follow the market's 90th-percentile (high) path from Brent options. Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case).",28.2134,0.0,0.001,0.000968319,R010_outputs_nlv2b_C1_LSFO250_highbrent
nlv2b_C1_LSFO250_highbrent_adv,Conservative rooftop (base),C1_LSFO250,"New LSFO plant, 250 MW",highbrent,Market 90th percentile,1.0,Reference,bare-EPC,ATB Advanced,model,0,"New LSFO plant, 250 MW · high oil · base rooftop · ATB-Adv","A new 250 MW combined-cycle plant burning low-sulfur fuel oil is built; no LNG imports. Oil prices follow the market's 90th-percentile (high) path from Brent options. Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case). Solar and battery costs follow ATB's cheaper Advanced projection.",26.514,0.0,0.001,0.000954542,R010_outputs_nlv2b_C1_LSFO250_highbrent_adv
nlv2b_C1_LSFO250_lowbrent,Conservative rooftop (base),C1_LSFO250,"New LSFO plant, 250 MW",lowbrent,Market 10th percentile,1.0,Reference,bare-EPC,ATB Moderate,model,0,"New LSFO plant, 250 MW · low oil · base rooftop","A new 250 MW combined-cycle plant burning low-sulfur fuel oil is built; no LNG imports. Oil prices follow the market's 10th-percentile (low) path from Brent options. Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case).",21.9999,0.0,0.001,0.000916682,R010_outputs_nlv2b_C1_LSFO250_lowbrent
nlv2b_C1_LSFO250_lowbrent_adv,Conservative rooftop (base),C1_LSFO250,"New LSFO plant, 250 MW",lowbrent,Market 10th percentile,1.0,Reference,bare-EPC,ATB Advanced,model,0,"New LSFO plant, 250 MW · low oil · base rooftop · ATB-Adv","A new 250 MW combined-cycle plant burning low-sulfur fuel oil is built; no LNG imports. Oil prices follow the market's 10th-percentile (low) path from Brent options. Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case). Solar and battery costs follow ATB's cheaper Advanced projection.",20.8239,0.0,0.001,0.00078657,R010_outputs_nlv2b_C1_LSFO250_lowbrent_adv
nlv2b_C1_LSFO250_refbrent,Conservative rooftop (base),C1_LSFO250,"New LSFO plant, 250 MW",refbrent,EIA reference,1.0,Reference,bare-EPC,ATB Moderate,model,0,"New LSFO plant, 250 MW · EIA-ref oil · base rooftop","A new 250 MW combined-cycle plant burning low-sulfur fuel oil is built; no LNG imports. Oil prices follow EIA's reference forecast. Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case).",26.5309,0.0,0.001,0.000959916,R010_outputs_nlv2b_C1_LSFO250_refbrent
nlv2b_C1_LSFO250_refbrent_adv,Conservative rooftop (base),C1_LSFO250,"New LSFO plant, 250 MW",refbrent,EIA reference,1.0,Reference,bare-EPC,ATB Advanced,model,0,"New LSFO plant, 250 MW · EIA-ref oil · base rooftop · ATB-Adv","A new 250 MW combined-cycle plant burning low-sulfur fuel oil is built; no LNG imports. Oil prices follow EIA's reference forecast. Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case). Solar and battery costs follow ATB's cheaper Advanced projection.",25.054,0.0,0.001,0.000805602,R010_outputs_nlv2b_C1_LSFO250_refbrent_adv
nlv2b_C2_LSFO375_futbrent,Conservative rooftop (base),C2_LSFO375,"New LSFO plant, 375 MW",futbrent,Brent futures,1.0,Reference,bare-EPC,ATB Moderate,model,0,"New LSFO plant, 375 MW · futures oil · base rooftop","A new 375 MW combined-cycle plant burning low-sulfur fuel oil is built; no LNG imports. Oil prices follow the Brent futures strip (the market's central view). Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case).",25.3846,0.0,0.001,0.000974928,R010_outputs_nlv2b_C2_LSFO375_futbrent
nlv2b_C2_LSFO375_futbrent_adv,Conservative rooftop (base),C2_LSFO375,"New LSFO plant, 375 MW",futbrent,Brent futures,1.0,Reference,bare-EPC,ATB Advanced,model,0,"New LSFO plant, 375 MW · futures oil · base rooftop · ATB-Adv","A new 375 MW combined-cycle plant burning low-sulfur fuel oil is built; no LNG imports. Oil prices follow the Brent futures strip (the market's central view). Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case). Solar and battery costs follow ATB's cheaper Advanced projection.",24.0321,0.0,0.001,0.000886448,R010_outputs_nlv2b_C2_LSFO375_futbrent_adv
nlv2b_C2_LSFO375_highbrent,Conservative rooftop (base),C2_LSFO375,"New LSFO plant, 375 MW",highbrent,Market 90th percentile,1.0,Reference,bare-EPC,ATB Moderate,model,0,"New LSFO plant, 375 MW · high oil · base rooftop","A new 375 MW combined-cycle plant burning low-sulfur fuel oil is built; no LNG imports. Oil prices follow the market's 90th-percentile (high) path from Brent options. Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case).",28.612,0.0,0.001,0.0009065,R010_outputs_nlv2b_C2_LSFO375_highbrent
nlv2b_C2_LSFO375_highbrent_adv,Conservative rooftop (base),C2_LSFO375,"New LSFO plant, 375 MW",highbrent,Market 90th percentile,1.0,Reference,bare-EPC,ATB Advanced,model,0,"New LSFO plant, 375 MW · high oil · base rooftop · ATB-Adv","A new 375 MW combined-cycle plant burning low-sulfur fuel oil is built; no LNG imports. Oil prices follow the market's 90th-percentile (high) path from Brent options. Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case). Solar and battery costs follow ATB's cheaper Advanced projection.",26.9555,0.0,0.001,0.000738236,R010_outputs_nlv2b_C2_LSFO375_highbrent_adv
nlv2b_C2_LSFO375_lowbrent,Conservative rooftop (base),C2_LSFO375,"New LSFO plant, 375 MW",lowbrent,Market 10th percentile,1.0,Reference,bare-EPC,ATB Moderate,model,0,"New LSFO plant, 375 MW · low oil · base rooftop","A new 375 MW combined-cycle plant burning low-sulfur fuel oil is built; no LNG imports. Oil prices follow the market's 10th-percentile (low) path from Brent options. Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case).",22.4127,0.0,0.001,0.000935772,R010_outputs_nlv2b_C2_LSFO375_lowbrent
nlv2b_C2_LSFO375_lowbrent_adv,Conservative rooftop (base),C2_LSFO375,"New LSFO plant, 375 MW",lowbrent,Market 10th percentile,1.0,Reference,bare-EPC,ATB Advanced,model,0,"New LSFO plant, 375 MW · low oil · base rooftop · ATB-Adv","A new 375 MW combined-cycle plant burning low-sulfur fuel oil is built; no LNG imports. Oil prices follow the market's 10th-percentile (low) path from Brent options. Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case). Solar and battery costs follow ATB's cheaper Advanced projection.",21.2255,0.0,0.001,0.000954,R010_outputs_nlv2b_C2_LSFO375_lowbrent_adv
nlv2b_C2_LSFO375_refbrent,Conservative rooftop (base),C2_LSFO375,"New LSFO plant, 375 MW",refbrent,EIA reference,1.0,Reference,bare-EPC,ATB Moderate,model,0,"New LSFO plant, 375 MW · EIA-ref oil · base rooftop","A new 375 MW combined-cycle plant burning low-sulfur fuel oil is built; no LNG imports. Oil prices follow EIA's reference forecast. Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case).",26.8902,0.0,0.001,0.000998937,R010_outputs_nlv2b_C2_LSFO375_refbrent
nlv2b_C2_LSFO375_refbrent_adv,Conservative rooftop (base),C2_LSFO375,"New LSFO plant, 375 MW",refbrent,EIA reference,1.0,Reference,bare-EPC,ATB Advanced,model,0,"New LSFO plant, 375 MW · EIA-ref oil · base rooftop · ATB-Adv","A new 375 MW combined-cycle plant burning low-sulfur fuel oil is built; no LNG imports. Oil prices follow EIA's reference forecast. Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case). Solar and battery costs follow ATB's cheaper Advanced projection.",25.4309,0.0,0.001,0.000794171,R010_outputs_nlv2b_C2_LSFO375_refbrent_adv
nlv2b_C3_LSFO500_futbrent,Conservative rooftop (base),C3_LSFO500,"New LSFO plant, 500 MW",futbrent,Brent futures,1.0,Reference,bare-EPC,ATB Moderate,model,0,"New LSFO plant, 500 MW · futures oil · base rooftop","A new 500 MW combined-cycle plant burning low-sulfur fuel oil is built; no LNG imports. Oil prices follow the Brent futures strip (the market's central view). Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case).",25.8233,0.0,0.001,0.000892554,R010_outputs_nlv2b_C3_LSFO500_futbrent
nlv2b_C3_LSFO500_futbrent_adv,Conservative rooftop (base),C3_LSFO500,"New LSFO plant, 500 MW",futbrent,Brent futures,1.0,Reference,bare-EPC,ATB Advanced,model,0,"New LSFO plant, 500 MW · futures oil · base rooftop · ATB-Adv","A new 500 MW combined-cycle plant burning low-sulfur fuel oil is built; no LNG imports. Oil prices follow the Brent futures strip (the market's central view). Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case). Solar and battery costs follow ATB's cheaper Advanced projection.",24.4859,0.0,0.001,0.000981365,R010_outputs_nlv2b_C3_LSFO500_futbrent_adv
nlv2b_C3_LSFO500_highbrent,Conservative rooftop (base),C3_LSFO500,"New LSFO plant, 500 MW",highbrent,Market 90th percentile,1.0,Reference,bare-EPC,ATB Moderate,model,0,"New LSFO plant, 500 MW · high oil · base rooftop","A new 500 MW combined-cycle plant burning low-sulfur fuel oil is built; no LNG imports. Oil prices follow the market's 90th-percentile (high) path from Brent options. Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case).",29.056,0.0,0.001,0.000962502,R010_outputs_nlv2b_C3_LSFO500_highbrent
nlv2b_C3_LSFO500_highbrent_adv,Conservative rooftop (base),C3_LSFO500,"New LSFO plant, 500 MW",highbrent,Market 90th percentile,1.0,Reference,bare-EPC,ATB Advanced,model,0,"New LSFO plant, 500 MW · high oil · base rooftop · ATB-Adv","A new 500 MW combined-cycle plant burning low-sulfur fuel oil is built; no LNG imports. Oil prices follow the market's 90th-percentile (high) path from Brent options. Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case). Solar and battery costs follow ATB's cheaper Advanced projection.",27.4325,0.0,0.001,0.000816869,R010_outputs_nlv2b_C3_LSFO500_highbrent_adv
nlv2b_C3_LSFO500_lowbrent,Conservative rooftop (base),C3_LSFO500,"New LSFO plant, 500 MW",lowbrent,Market 10th percentile,1.0,Reference,bare-EPC,ATB Moderate,model,0,"New LSFO plant, 500 MW · low oil · base rooftop","A new 500 MW combined-cycle plant burning low-sulfur fuel oil is built; no LNG imports. Oil prices follow the market's 10th-percentile (low) path from Brent options. Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case).",22.8825,0.0,0.001,0.000971249,R010_outputs_nlv2b_C3_LSFO500_lowbrent
nlv2b_C3_LSFO500_lowbrent_adv,Conservative rooftop (base),C3_LSFO500,"New LSFO plant, 500 MW",lowbrent,Market 10th percentile,1.0,Reference,bare-EPC,ATB Advanced,model,0,"New LSFO plant, 500 MW · low oil · base rooftop · ATB-Adv","A new 500 MW combined-cycle plant burning low-sulfur fuel oil is built; no LNG imports. Oil prices follow the market's 10th-percentile (low) path from Brent options. Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case). Solar and battery costs follow ATB's cheaper Advanced projection.",21.6804,0.0,0.001,0.000961818,R010_outputs_nlv2b_C3_LSFO500_lowbrent_adv
nlv2b_C3_LSFO500_refbrent,Conservative rooftop (base),C3_LSFO500,"New LSFO plant, 500 MW",refbrent,EIA reference,1.0,Reference,bare-EPC,ATB Moderate,model,0,"New LSFO plant, 500 MW · EIA-ref oil · base rooftop","A new 500 MW combined-cycle plant burning low-sulfur fuel oil is built; no LNG imports. Oil prices follow EIA's reference forecast. Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case).",27.3213,0.0,0.001,0.000913054,R010_outputs_nlv2b_C3_LSFO500_refbrent
nlv2b_C3_LSFO500_refbrent_adv,Conservative rooftop (base),C3_LSFO500,"New LSFO plant, 500 MW",refbrent,EIA reference,1.0,Reference,bare-EPC,ATB Advanced,model,0,"New LSFO plant, 500 MW · EIA-ref oil · base rooftop · ATB-Adv","A new 500 MW combined-cycle plant burning low-sulfur fuel oil is built; no LNG imports. Oil prices follow EIA's reference forecast. Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case). Solar and battery costs follow ATB's cheaper Advanced projection.",25.8766,0.0,0.001,0.0009958,R010_outputs_nlv2b_C3_LSFO500_refbrent_adv
nlv2b_C4_NOTHERMAL_futbrent,Conservative rooftop (base),C4_NOTHERMAL,No new fuel plant,futbrent,Brent futures,1.0,Reference,bare-EPC,ATB Moderate,model,0,No new fuel plant · futures oil · base rooftop,"No new fuel-burning plant is built; solar, storage, wind, and geothermal grow on top of the existing fleet. Oil prices follow the Brent futures strip (the market's central view). Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case).",24.5433,0.0,0.001,0.000981779,R010_outputs_nlv2b_C4_NOTHERMAL_futbrent
nlv2b_C4_NOTHERMAL_futbrent_adv,Conservative rooftop (base),C4_NOTHERMAL,No new fuel plant,futbrent,Brent futures,1.0,Reference,bare-EPC,ATB Advanced,model,0,No new fuel plant · futures oil · base rooftop · ATB-Adv,"No new fuel-burning plant is built; solar, storage, wind, and geothermal grow on top of the existing fleet. Oil prices follow the Brent futures strip (the market's central view). Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case). Solar and battery costs follow ATB's cheaper Advanced projection.",23.1256,0.0,0.001,0.000984998,R010_outputs_nlv2b_C4_NOTHERMAL_futbrent_adv
nlv2b_C4_NOTHERMAL_highbrent,Conservative rooftop (base),C4_NOTHERMAL,No new fuel plant,highbrent,Market 90th percentile,1.0,Reference,bare-EPC,ATB Moderate,model,0,No new fuel plant · high oil · base rooftop,"No new fuel-burning plant is built; solar, storage, wind, and geothermal grow on top of the existing fleet. Oil prices follow the market's 90th-percentile (high) path from Brent options. Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case).",27.6163,0.0,0.001,0.000895904,R010_outputs_nlv2b_C4_NOTHERMAL_highbrent
nlv2b_C4_NOTHERMAL_highbrent_adv,Conservative rooftop (base),C4_NOTHERMAL,No new fuel plant,highbrent,Market 90th percentile,1.0,Reference,bare-EPC,ATB Advanced,model,0,No new fuel plant · high oil · base rooftop · ATB-Adv,"No new fuel-burning plant is built; solar, storage, wind, and geothermal grow on top of the existing fleet. Oil prices follow the market's 90th-percentile (high) path from Brent options. Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case). Solar and battery costs follow ATB's cheaper Advanced projection.",25.8074,0.0,0.001,0.000998855,R010_outputs_nlv2b_C4_NOTHERMAL_highbrent_adv
nlv2b_C4_NOTHERMAL_lowbrent,Conservative rooftop (base),C4_NOTHERMAL,No new fuel plant,lowbrent,Market 10th percentile,1.0,Reference,bare-EPC,ATB Moderate,model,0,No new fuel plant · low oil · base rooftop,"No new fuel-burning plant is built; solar, storage, wind, and geothermal grow on top of the existing fleet. Oil prices follow the market's 10th-percentile (low) path from Brent options. Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case).",21.3497,0.0,0.001,0.000952179,R010_outputs_nlv2b_C4_NOTHERMAL_lowbrent
nlv2b_C4_NOTHERMAL_lowbrent_adv,Conservative rooftop (base),C4_NOTHERMAL,No new fuel plant,lowbrent,Market 10th percentile,1.0,Reference,bare-EPC,ATB Advanced,model,0,No new fuel plant · low oil · base rooftop · ATB-Adv,"No new fuel-burning plant is built; solar, storage, wind, and geothermal grow on top of the existing fleet. Oil prices follow the market's 10th-percentile (low) path from Brent options. Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case). Solar and battery costs follow ATB's cheaper Advanced projection.",20.1703,0.0,0.001,0.000790837,R010_outputs_nlv2b_C4_NOTHERMAL_lowbrent_adv
nlv2b_C4_NOTHERMAL_refbrent,Conservative rooftop (base),C4_NOTHERMAL,No new fuel plant,refbrent,EIA reference,1.0,Reference,bare-EPC,ATB Moderate,model,0,No new fuel plant · EIA-ref oil · base rooftop,"No new fuel-burning plant is built; solar, storage, wind, and geothermal grow on top of the existing fleet. Oil prices follow EIA's reference forecast. Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case).",26.109,0.0,0.001,0.000987783,R010_outputs_nlv2b_C4_NOTHERMAL_refbrent
nlv2b_C4_NOTHERMAL_refbrent_adv,Conservative rooftop (base),C4_NOTHERMAL,No new fuel plant,refbrent,EIA reference,1.0,Reference,bare-EPC,ATB Advanced,model,0,No new fuel plant · EIA-ref oil · base rooftop · ATB-Adv,"No new fuel-burning plant is built; solar, storage, wind, and geothermal grow on top of the existing fleet. Oil prices follow EIA's reference forecast. Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case). Solar and battery costs follow ATB's cheaper Advanced projection.",24.5082,0.0,0.001,0.000973912,R010_outputs_nlv2b_C4_NOTHERMAL_refbrent_adv
nlv2b_C5_LNG375_futbrent,Conservative rooftop (base),C5_LNG375,"New LNG plant, 375 MW",futbrent,Brent futures,1.0,Reference,bare-EPC,ATB Moderate,model,0,"New LNG plant, 375 MW · futures oil · base rooftop","LNG imports begin in 2030 and a new 375 MW LNG plant is built (the cost-minimizing size); no Waiau Repower. Oil prices follow the Brent futures strip (the market's central view). Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case).",24.7244,0.0,0.001,0.000839572,R010_outputs_nlv2b_C5_LNG375_futbrent
nlv2b_C5_LNG375_futbrent_adv,Conservative rooftop (base),C5_LNG375,"New LNG plant, 375 MW",futbrent,Brent futures,1.0,Reference,bare-EPC,ATB Advanced,model,0,"New LNG plant, 375 MW · futures oil · base rooftop · ATB-Adv","LNG imports begin in 2030 and a new 375 MW LNG plant is built (the cost-minimizing size); no Waiau Repower. Oil prices follow the Brent futures strip (the market's central view). Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case). Solar and battery costs follow ATB's cheaper Advanced projection.",23.4864,0.0,0.001,0.000853662,R010_outputs_nlv2b_C5_LNG375_futbrent_adv
nlv2b_C5_LNG375_futbrent_j120,Conservative rooftop (base),C5_LNG375,"New LNG plant, 375 MW",futbrent,Brent futures,1.0,Reference,+20%,ATB Moderate,model,0,"New LNG plant, 375 MW · futures oil · base rooftop · JERA +20%","LNG imports begin in 2030 and a new 375 MW LNG plant is built (the cost-minimizing size); no Waiau Repower. Oil prices follow the Brent futures strip (the market's central view). Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case). JERA plant capital at the +20% case.",25.0744,0.0,0.001,0.000998061,R010_outputs_nlv2b_C5_LNG375_futbrent_j120
nlv2b_C5_LNG375_futbrent_j120_adv,Conservative rooftop (base),C5_LNG375,"New LNG plant, 375 MW",futbrent,Brent futures,1.0,Reference,+20%,ATB Advanced,model,0,"New LNG plant, 375 MW · futures oil · base rooftop · ATB-Adv · JERA +20%","LNG imports begin in 2030 and a new 375 MW LNG plant is built (the cost-minimizing size); no Waiau Repower. Oil prices follow the Brent futures strip (the market's central view). Rooftop solar grows conservatively to about 1,000 MW by 2050 (base case). Solar and battery costs follow ATB's cheaper Advanced projection. JERA plant capital at the +20% case.",23.8314,0.0,0.001,0.000841473,R010_outputs_nlv2b_C5_LNG375_futbrent_j120_adv
