outputs_dir,basis,scenario,total_cost,phrase,relmipgap_achieved,absmipgap,log,log_mtime
R010_outputs_nlv2b_C3_LSFO500_highbrent,R010_outputs,nlv2b_C3_LSFO500_highbrent,29056042884.52004,optimal integer solution within mipgap or absmipgap,0.000962502,2.79665e+07,corr-percell_14722833_25.out,2026-09-06 16:50
R010_outputs_nlv2b_C3_LSFO500_highbrent_adv,R010_outputs,nlv2b_C3_LSFO500_highbrent_adv,27432534424.05879,optimal integer solution within mipgap or absmipgap,0.000816869,2.24088e+07,corr-percell_14722833_26.out,2026-09-06 16:52
R010_outputs_nlv2b_C3_LSFO500_lowbrent,R010_outputs,nlv2b_C3_LSFO500_lowbrent,22882478181.55107,optimal (non-)integer solution within mipgap or absmipgap,0.000971249,2.22246e+07,corr-percell_14722833_27.out,2026-09-06 19:26
R010_outputs_nlv2b_C3_LSFO500_lowbrent_adv,R010_outputs,nlv2b_C3_LSFO500_lowbrent_adv,21680385887.02803,optimal integer solution within mipgap or absmipgap,0.000961818,2.08526e+07,corr-percell_14722833_28.out,2026-09-06 21:57
R010_outputs_nlv2b_C3_LSFO500_refbrent,R010_outputs,nlv2b_C3_LSFO500_refbrent,27321313251.96742,optimal integer solution within mipgap or absmipgap,0.000913054,2.49458e+07,corr-percell_14722833_29.out,2026-09-06 16:55
R010_outputs_nlv2b_C3_LSFO500_refbrent_adv,R010_outputs,nlv2b_C3_LSFO500_refbrent_adv,25876625745.01514,optimal integer solution within mipgap or absmipgap,0.0009958,2.5768e+07,corr-percell_14722833_30.out,2026-09-06 17:10
R010_outputs_nlv2b_C4_NOTHERMAL_futbrent,R010_outputs,nlv2b_C4_NOTHERMAL_futbrent,24543346969.74202,optimal integer solution within mipgap or absmipgap,0.000981779,2.40961e+07,corr-percell_14722833_31.out,2026-09-06 17:13
R010_outputs_nlv2b_C4_NOTHERMAL_futbrent_adv,R010_outputs,nlv2b_C4_NOTHERMAL_futbrent_adv,23125551929.33258,optimal integer solution within mipgap or absmipgap,0.000984998,2.27786e+07,corr-percell_14722833_32.out,2026-09-06 17:17
R010_outputs_nlv2b_C4_NOTHERMAL_highbrent,R010_outputs,nlv2b_C4_NOTHERMAL_highbrent,27616252194.71203,optimal integer solution within mipgap or absmipgap,0.000895904,2.47415e+07,corr-percell_14722833_33.out,2026-09-06 16:47
R010_outputs_nlv2b_C4_NOTHERMAL_highbrent_adv,R010_outputs,nlv2b_C4_NOTHERMAL_highbrent_adv,25807354899.44329,optimal integer solution within mipgap or absmipgap,0.000998855,2.57778e+07,corr-percell_14722833_34.out,2026-09-06 16:54
R010_outputs_nlv2b_C4_NOTHERMAL_lowbrent,R010_outputs,nlv2b_C4_NOTHERMAL_lowbrent,21349681203.12959,optimal (non-)integer solution within mipgap or absmipgap,0.000952179,2.03287e+07,corr-percell_14722833_35.out,2026-09-06 20:17
R010_outputs_nlv2b_C4_NOTHERMAL_lowbrent_adv,R010_outputs,nlv2b_C4_NOTHERMAL_lowbrent_adv,20170284837.83088,optimal (non-)integer solution within mipgap or absmipgap,0.000790837,1.59514e+07,corr-percell_14722833_36.out,2026-09-06 17:23
R010_outputs_nlv2b_C4_NOTHERMAL_refbrent,R010_outputs,nlv2b_C4_NOTHERMAL_refbrent,26109013849.69384,optimal integer solution within mipgap or absmipgap,0.000987783,2.579e+07,corr-percell_14722833_37.out,2026-09-06 22:46
R010_outputs_nlv2b_C4_NOTHERMAL_refbrent_adv,R010_outputs,nlv2b_C4_NOTHERMAL_refbrent_adv,24508246817.65137,optimal integer solution within mipgap or absmipgap,0.000973912,2.38689e+07,corr-percell_14722833_38.out,2026-09-06 17:31
R010_outputs_nlv2b_C5_LNG375_futbrent,R010_outputs,nlv2b_C5_LNG375_futbrent,24724379272.90050,optimal integer solution within mipgap or absmipgap,0.000839572,2.07579e+07,corr-percell_14723559_0.out,2026-09-07 02:01
R010_outputs_nlv2b_C5_LNG375_futbrent_adv,R010_outputs,nlv2b_C5_LNG375_futbrent_adv,23486412747.05526,optimal integer solution within mipgap or absmipgap,0.000853662,2.00495e+07,corr-percell_14722833_39.out,2026-09-06 18:07
R010_outputs_nlv2b_C5_LNG375_futbrent_j120,R010_outputs,nlv2b_C5_LNG375_futbrent_j120,25074443083.89735,optimal integer solution within mipgap or absmipgap,0.000998061,2.50258e+07,corr-percell_14722833_40.out,2026-09-06 17:49
R010_outputs_nlv2b_C5_LNG375_futbrent_j120_adv,R010_outputs,nlv2b_C5_LNG375_futbrent_j120_adv,23831397975.35530,optimal integer solution within mipgap or absmipgap,0.000841473,2.00535e+07,corr-percell_14722833_41.out,2026-09-06 17:20
R010_outputs_nlv2b_C5_LNG375_highbrent,R010_outputs,nlv2b_C5_LNG375_highbrent,28269832185.38101,optimal integer solution within mipgap or absmipgap,0.000964979,2.72798e+07,corr-percell_14722833_42.out,2026-09-06 17:33
R010_outputs_nlv2b_C5_LNG375_highbrent_adv,R010_outputs,nlv2b_C5_LNG375_highbrent_adv,26763988294.16379,optimal integer solution within mipgap or absmipgap,0.000856282,2.29175e+07,corr-percell_14722833_43.out,2026-09-06 16:51
R010_outputs_nlv2b_C5_LNG375_highbrent_j120,R010_outputs,nlv2b_C5_LNG375_highbrent_j120,28616923104.80776,optimal integer solution within mipgap or absmipgap,0.00098808,2.82758e+07,corr-percell_14722833_44.out,2026-09-06 17:19
R010_outputs_nlv2b_C5_LNG375_highbrent_j120_adv,R010_outputs,nlv2b_C5_LNG375_highbrent_j120_adv,27111477079.61097,optimal integer solution within mipgap or absmipgap,0.000896951,2.43177e+07,corr-percell_14722833_45.out,2026-09-06 16:45
R010_outputs_nlv2b_C5_LNG375_lowbrent,R010_outputs,nlv2b_C5_LNG375_lowbrent,22388978412.64470,optimal integer solution within mipgap or absmipgap,0.000980713,2.19572e+07,corr-percell_14722833_46.out,2026-09-06 19:12
R010_outputs_nlv2b_C5_LNG375_lowbrent_adv,R010_outputs,nlv2b_C5_LNG375_lowbrent_adv,21237341183.52115,optimal integer solution within mipgap or absmipgap,0.000937227,1.99042e+07,corr-percell_14722833_47.out,2026-09-06 20:03
R010_outputs_nlv2b_C5_LNG375_lowbrent_j120,R010_outputs,nlv2b_C5_LNG375_lowbrent_j120,22735016192.88957,optimal integer solution within mipgap or absmipgap,0.000999716,2.27286e+07,corr-percell_14722833_48.out,2026-09-06 18:18
R010_outputs_nlv2b_C5_LNG375_refbrent,R010_outputs,nlv2b_C5_LNG375_refbrent,26308199264.73222,optimal integer solution within mipgap or absmipgap,0.000945589,2.48767e+07,corr-percell_14722833_49.out,2026-09-06 17:03
R010_outputs_nlv2b_C5_LNG375_refbrent_adv,R010_outputs,nlv2b_C5_LNG375_refbrent_adv,24991505647.40956,optimal integer solution within mipgap or absmipgap,0.000881172,2.20218e+07,corr-percell_14722833_50.out,2026-09-06 17:03
R010_outputs_nlv2b_C5_LNG375_refbrent_j120,R010_outputs,nlv2b_C5_LNG375_refbrent_j120,26654841368.77606,optimal integer solution within mipgap or absmipgap,0.000983335,2.62106e+07,corr-percell_14722833_51.out,2026-09-06 17:30
R010_outputs_nlv2b_C5_LNG375_refbrent_j120_adv,R010_outputs,nlv2b_C5_LNG375_refbrent_j120_adv,25339829193.92488,optimal integer solution within mipgap or absmipgap,0.000980743,2.48519e+07,corr-percell_14722833_52.out,2026-09-06 16:55
R010_outputs_nlv2b_C6_STATUSQUO_futbrent,R010_outputs,nlv2b_C6_STATUSQUO_futbrent,26423399703.48515,optimal (non-)integer solution within mipgap or absmipgap,0.000919415,2.42941e+07,corr-percell_14722833_53.out,2026-09-06 17:32
R010_outputs_nlv2b_C6_STATUSQUO_futbrent_adv,R010_outputs,nlv2b_C6_STATUSQUO_futbrent_adv,25251317749.57202,optimal (non-)integer solution within mipgap or absmipgap,0.000948822,2.3959e+07,corr-percell_14722833_54.out,2026-09-06 16:59
R010_outputs_nlv2b_C6_STATUSQUO_futbrent_j120,R010_outputs,nlv2b_C6_STATUSQUO_futbrent_j120,26846959438.76785,optimal (non-)integer solution within mipgap or absmipgap,0.000817717,2.19532e+07,corr-percell_14722833_55.out,2026-09-06 17:18
R010_outputs_nlv2b_C6_STATUSQUO_futbrent_j120_adv,R010_outputs,nlv2b_C6_STATUSQUO_futbrent_j120_adv,25674699681.82769,optimal (non-)integer solution within mipgap or absmipgap,0.000835307,2.14463e+07,corr-percell_14722833_56.out,2026-09-06 18:20
R010_outputs_nlv2b_C6_STATUSQUO_highbrent,R010_outputs,nlv2b_C6_STATUSQUO_highbrent,30056008925.79473,optimal integer solution within mipgap or absmipgap,0.000767544,2.30693e+07,corr-percell_14722833_57.out,2026-09-06 16:56
R010_outputs_nlv2b_C6_STATUSQUO_highbrent_adv,R010_outputs,nlv2b_C6_STATUSQUO_highbrent_adv,28602024046.85532,optimal integer solution within mipgap or absmipgap,0.000980532,2.80452e+07,corr-percell_14722833_58.out,2026-09-06 16:19
R010_outputs_nlv2b_C6_STATUSQUO_highbrent_j120,R010_outputs,nlv2b_C6_STATUSQUO_highbrent_j120,30486050985.19818,optimal integer solution within mipgap or absmipgap,0.000988952,3.01523e+07,corr-percell_14722833_59.out,2026-09-06 16:31
R010_outputs_nlv2b_C6_STATUSQUO_highbrent_j120_adv,R010_outputs,nlv2b_C6_STATUSQUO_highbrent_j120_adv,29028876623.20795,optimal integer solution within mipgap or absmipgap,0.000998066,2.89727e+07,corr-percell_14722833_60.out,2026-09-06 16:12
R010_outputs_nlv2b_C6_STATUSQUO_lowbrent,R010_outputs,nlv2b_C6_STATUSQUO_lowbrent,24240737167.08454,optimal integer solution within mipgap or absmipgap,0.000979797,2.3751e+07,corr-percell_14722833_61.out,2026-09-06 16:53
R010_outputs_nlv2b_C6_STATUSQUO_lowbrent_adv,R010_outputs,nlv2b_C6_STATUSQUO_lowbrent_adv,23048097529.77721,optimal integer solution within mipgap or absmipgap,0.000648072,1.49368e+07,corr-percell_14722833_62.out,2026-09-06 17:05
R010_outputs_nlv2b_C6_STATUSQUO_lowbrent_j120,R010_outputs,nlv2b_C6_STATUSQUO_lowbrent_j120,24663253858.98512,optimal (non-)integer solution within mipgap or absmipgap,0.000805841,1.98747e+07,corr-percell_14722833_63.out,2026-09-06 19:12
R010_outputs_nlv2b_C6_STATUSQUO_lowbrent_j120_adv,R010_outputs,nlv2b_C6_STATUSQUO_lowbrent_j120_adv,23473212195.28276,optimal integer solution within mipgap or absmipgap,0.000602201,1.41356e+07,corr-percell_14722833_64.out,2026-09-06 17:26
R010_outputs_nlv2b_C6_STATUSQUO_refbrent,R010_outputs,nlv2b_C6_STATUSQUO_refbrent,28072243656.85779,optimal (non-)integer solution within mipgap or absmipgap,0.000949435,2.66528e+07,corr-percell_14722833_65.out,2026-09-06 17:38
R010_outputs_nlv2b_C6_STATUSQUO_refbrent_adv,R010_outputs,nlv2b_C6_STATUSQUO_refbrent_adv,26789406181.34869,optimal integer solution within mipgap or absmipgap,0.000716008,1.91814e+07,corr-percell_14722833_66.out,2026-09-06 17:41
R010_outputs_nlv2b_C6_STATUSQUO_refbrent_j120,R010_outputs,nlv2b_C6_STATUSQUO_refbrent_j120,28497394924.52702,optimal (non-)integer solution within mipgap or absmipgap,0.000910018,2.59331e+07,corr-percell_14722833_67.out,2026-09-06 17:37
R010_outputs_nlv2b_C6_STATUSQUO_refbrent_j120_adv,R010_outputs,nlv2b_C6_STATUSQUO_refbrent_j120_adv,27219405396.15693,optimal integer solution within mipgap or absmipgap,0.000854682,2.32639e+07,corr-percell_14722833_68.out,2026-09-06 17:54
R010_outputs_nlv2b_be_pv15_C1_LSFO250_refbrent,R010_outputs,nlv2b_be_pv15_C1_LSFO250_refbrent,28546207800.54399,optimal integer solution within mipgap or absmipgap,0.000998201,2.84949e+07,corr-percell_14722833_69.out,2026-09-07 06:53
R010_outputs_nlv2b_be_pv15_C1_LSFO250_refbrent_adv,R010_outputs,nlv2b_be_pv15_C1_LSFO250_refbrent_adv,26872472437.80830,optimal integer solution within mipgap or absmipgap,0.000982322,2.63974e+07,corr-percell_14722833_70.out,2026-09-06 17:58
R010_outputs_nlv2b_be_pv15_C4_NOTHERMAL_futbrent,R010_outputs,nlv2b_be_pv15_C4_NOTHERMAL_futbrent,26416049625.79834,optimal integer solution within mipgap or absmipgap,0.000996841,2.63326e+07,corr-percell_14722833_71.out,2026-09-06 23:11
R010_outputs_nlv2b_be_pv15_C4_NOTHERMAL_highbrent,R010_outputs,nlv2b_be_pv15_C4_NOTHERMAL_highbrent,30270623503.20132,optimal integer solution within mipgap or absmipgap,0.000999715,3.0262e+07,corr-percell_14722833_72.out,2026-09-07 00:22
R010_outputs_nlv2b_be_pv15_C4_NOTHERMAL_lowbrent,R010_outputs,nlv2b_be_pv15_C4_NOTHERMAL_lowbrent,22869905980.19875,optimal (non-)integer solution within mipgap or absmipgap,0.000759781,1.73761e+07,corr-percell_14722833_73.out,2026-09-06 18:28
R010_outputs_nlv2b_be_pv15_C4_NOTHERMAL_refbrent,R010_outputs,nlv2b_be_pv15_C4_NOTHERMAL_refbrent,28258640316.45498,optimal integer solution within mipgap or absmipgap,0.00099969,2.82499e+07,corr-percell_14722833_74.out,2026-09-07 05:10
R010_outputs_nlv2b_be_pv15_C4_NOTHERMAL_refbrent_adv,R010_outputs,nlv2b_be_pv15_C4_NOTHERMAL_refbrent_adv,26473746189.35466,optimal integer solution within mipgap or absmipgap,0.000917049,2.42777e+07,corr-percell_14722833_75.out,2026-09-06 17:39
R010_outputs_nlv2b_be_pv15_lngconv_opt_refbrent,R010_outputs,nlv2b_be_pv15_lngconv_opt_refbrent,27751251316.18616,optimal integer solution within mipgap or absmipgap,0.000999856,2.77473e+07,corr-percell_14722833_77.out,2026-09-07 04:07
R010_outputs_nlv2b_be_pv15_wb_C6_LNG500_futbrent,R010_outputs,nlv2b_be_pv15_wb_C6_LNG500_futbrent,26559676072.16663,optimal (non-)integer solution within mipgap or absmipgap,0.000671997,1.7848e+07,corr-percell_14722833_78.out,2026-09-06 18:19
R010_outputs_nlv2b_be_pv15_wb_C6_LNG500_futbrent_j120,R010_outputs,nlv2b_be_pv15_wb_C6_LNG500_futbrent_j120,26992300530.92822,optimal (non-)integer solution within mipgap or absmipgap,0.000927888,2.50458e+07,corr-percell_14722833_79.out,2026-09-06 18:27
R010_outputs_nlv2b_be_pv15_wb_C6_LNG500_highbrent,R010_outputs,nlv2b_be_pv15_wb_C6_LNG500_highbrent,30651294457.18223,optimal integer solution within mipgap or absmipgap,0.000960907,2.9453e+07,corr-percell_14722833_80.out,2026-09-06 22:18
R010_outputs_nlv2b_be_pv15_wb_C6_LNG500_highbrent_j120,R010_outputs,nlv2b_be_pv15_wb_C6_LNG500_highbrent_j120,31076894929.77173,optimal integer solution within mipgap or absmipgap,0.000989876,3.07623e+07,corr-percell_14722833_81.out,2026-09-06 23:11
R010_outputs_nlv2b_be_pv15_wb_C6_LNG500_lowbrent,R010_outputs,nlv2b_be_pv15_wb_C6_LNG500_lowbrent,24266712526.84395,optimal integer solution within mipgap or absmipgap,0.000929022,2.25443e+07,corr-percell_14722833_82.out,2026-09-06 18:57
R010_outputs_nlv2b_be_pv15_wb_C6_LNG500_lowbrent_j120,R010_outputs,nlv2b_be_pv15_wb_C6_LNG500_lowbrent_j120,24695944299.74736,optimal integer solution within mipgap or absmipgap,0.000999871,2.46928e+07,corr-percell_14723559_1.out,2026-09-07 06:13
R010_outputs_nlv2b_be_pv15_wb_C6_LNG500_refbrent,R010_outputs,nlv2b_be_pv15_wb_C6_LNG500_refbrent,28346586940.35059,optimal integer solution within mipgap or absmipgap,0.000790097,2.23965e+07,corr-percell_14722833_83.out,2026-09-06 19:51
R010_outputs_nlv2b_be_pv15_wb_C6_LNG500_refbrent_j120,R010_outputs,nlv2b_be_pv15_wb_C6_LNG500_refbrent_j120,28772887288.81068,optimal integer solution within mipgap or absmipgap,0.000880208,2.53261e+07,corr-percell_14722833_84.out,2026-09-06 18:25
R010_outputs_nlv2b_be_pv17_C1_LSFO250_refbrent,R010_outputs,nlv2b_be_pv17_C1_LSFO250_refbrent,29175851623.47296,optimal integer solution within mipgap or absmipgap,0.000957793,2.79444e+07,corr-percell_14722833_85.out,2026-09-06 18:50
R010_outputs_nlv2b_be_pv17_C1_LSFO250_refbrent_adv,R010_outputs,nlv2b_be_pv17_C1_LSFO250_refbrent_adv,27475922076.99307,optimal integer solution within mipgap or absmipgap,0.00099267,2.72745e+07,corr-percell_14722833_86.out,2026-09-06 18:34
R010_outputs_nlv2b_be_pv17_C4_NOTHERMAL_futbrent,R010_outputs,nlv2b_be_pv17_C4_NOTHERMAL_futbrent,26995325827.46122,optimal integer solution within mipgap or absmipgap,0.000805641,2.17485e+07,corr-percell_14722833_87.out,2026-09-06 18:45
R010_outputs_nlv2b_be_pv17_C4_NOTHERMAL_highbrent,R010_outputs,nlv2b_be_pv17_C4_NOTHERMAL_highbrent,31151834664.12072,optimal (non-)integer solution within mipgap or absmipgap,0.000999969,3.11509e+07,corr-percell_14722833_88.out,2026-09-07 03:54
R010_outputs_nlv2b_be_pv17_C4_NOTHERMAL_lowbrent,R010_outputs,nlv2b_be_pv17_C4_NOTHERMAL_lowbrent,23358374403.53843,optimal (non-)integer solution within mipgap or absmipgap,0.00099996,2.33599e+07,corr-percell_14722833_89.out,2026-09-06 18:14
R010_outputs_nlv2b_be_pv17_C4_NOTHERMAL_refbrent,R010_outputs,nlv2b_be_pv17_C4_NOTHERMAL_refbrent,28979523064.29574,optimal integer solution within mipgap or absmipgap,0.000998469,2.89351e+07,corr-percell_14722833_90.out,2026-09-06 20:04
R010_outputs_nlv2b_be_pv17_C4_NOTHERMAL_refbrent_adv,R010_outputs,nlv2b_be_pv17_C4_NOTHERMAL_refbrent_adv,27126130841.71928,optimal integer solution within mipgap or absmipgap,0.000856981,2.32466e+07,corr-percell_14722833_91.out,2026-09-06 18:02
R010_outputs_nlv2b_be_pv17_lngconv_heco_refbrent,R010_outputs,nlv2b_be_pv17_lngconv_heco_refbrent,27608165894.89771,optimal integer solution within mipgap or absmipgap,0.000952749,2.63037e+07,corr-percell_14722833_92.out,2026-09-06 18:25
R010_outputs_nlv2b_be_pv17_lngconv_opt_refbrent,R010_outputs,nlv2b_be_pv17_lngconv_opt_refbrent,28442450603.29916,optimal integer solution within mipgap or absmipgap,0.000995628,2.83181e+07,corr-percell_14722833_93.out,2026-09-07 04:37
R010_outputs_nlv2b_be_pv17_wb_C6_LNG500_futbrent,R010_outputs,nlv2b_be_pv17_wb_C6_LNG500_futbrent,27073279925.97100,optimal integer solution within mipgap or absmipgap,0.000972479,2.63282e+07,corr-percell_14722833_94.out,2026-09-06 18:45
